,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
95,96.,2015,China,Faith,"Zeng, Hongda","$108,322.91","$1,764,520.75","Zeng ""Faith"" Hongda - Dota 2 Player",106
96,97.,2015,Russian Federation,Silent,Airat Gaziev,"$104,987.10","$323,740.29","Airat ""Silent"" Gaziev - Dota 2 Player",90
97,98.,2015,Poland,TaZ,Wiktor Wojtas,"$104,499.06","$741,621.40","Wiktor ""TaZ"" Wojtas - CS:GO Player",246
98,99.,2015,Poland,neo,Filip Kubski,"$103,999.06","$758,451.03","Filip ""neo"" Kubski - CS:GO Player",234
99,100.,2015,Germany,Lifecoach,Adrian Koy,"$103,840.73","$222,370.17","Adrian ""Lifecoach"" Koy - Gwent Player",47
0,1.,2016,China,y`,Zhang Yiping,"$1,923,676.32","$3,259,674.08","Zhang ""y`"" Yiping - Dota 2 Player",64
1,2.,2016,China,Faith_bian,Zhang Ruida,"$1,923,676.32","$3,241,113.66","Zhang ""Faith_bian"" Ruida - Dota 2 Player",60
2,3.,2016,China,iceice,"Li, Peng","$1,923,676.32","$2,002,159.51","Li ""iceice"" Peng - Dota 2 Player",26
3,4.,2016,China,Shadow,Chu Zeyu,"$1,923,676.32","$1,982,225.70","Chu ""Shadow"" Zeyu - Dota 2 Player",29
4,5.,2016,China,bLink,Zhou Yang,"$1,923,676.32","$1,960,956.47","Zhou ""bLink"" Yang - Dota 2 Player",26
5,6.,2016,Romania,w33,Aliwi Omar,"$982,899.00","$2,284,523.58","Aliwi ""w33"" Omar - Dota 2 Player",63
6,7.,2016,Denmark,MiSeRy,Rasmus Fillipsen,"$982,899.00","$1,503,291.67","Rasmus ""MiSeRy"" Fillipsen - Dota 2 Player",90
7,8.,2016,Ukraine,Resolut1on,Roman Fominok,"$759,557.82","$1,471,220.75","Roman ""Resolut1on"" Fominok - Dota 2 Player",106
8,9.,2016,"Macedonia, The Former Yugoslav Republic of",Saksa,Martin Sazdov,"$758,973.40","$1,266,204.75","Martin ""Saksa"" Sazdov - Dota 2 Player",57
9,10.,2016,United States,Moo,David Hull,"$719,142.60","$836,406.86","David ""Moo"" Hull - Dota 2 Player",58
10,11.,2016,Pakistan,SumaiL,Sumail Hassan,"$658,860.80","$3,818,084.01","Sumail ""SumaiL"" Hassan - Dota 2 Player",74
11,12.,2016,United States,UNiVeRsE,Saahil Arora,"$654,797.00","$3,057,237.67","Saahil ""UNiVeRsE"" Arora - Dota 2 Player",95
12,13.,2016,Denmark,N0tail,Johan Sundstein,"$583,028.80","$7,183,917.80","Johan ""N0tail"" Sundstein - Dota 2 Player",130
13,14.,2016,Israel,Fly,Tal Aizik,"$583,028.80","$2,610,250.81","Tal ""Fly"" Aizik - Dota 2 Player",123
14,15.,2016,United States,ppd,Peter Dager,"$557,969.60","$3,029,331.36","Peter ""ppd"" Dager - Dota 2 Player",96
15,16.,2016,United States,Fear,Clinton Loomis,"$557,969.60","$2,564,313.19","Clinton ""Fear"" Loomis - Dota 2 Player",101
16,17.,2016,Finland,JerAx,Jesse Vainikka,"$555,163.20","$6,470,548.78","Jesse ""JerAx"" Vainikka - VALORANT Player",65
17,18.,2016,Sweden,Zai,Ludwig Wåhlberg,"$540,070.80","$3,266,749.02","Ludwig ""Zai"" Wåhlberg - Dota 2 Player",106
18,19.,2016,Denmark,Cr1t,Andreas Nielsen,"$471,170.00","$2,219,521.60","Andreas ""Cr1t"" Nielsen - Dota 2 Player",80
19,20.,2016,Canada,MoonMeander,David Tan,"$427,126.60","$1,007,970.83","David ""MoonMeander"" Tan - Dota 2 Player",82
20,21.,2016,"Korea, Republic of",Duke,"Lee, Ho Seong","$422,755.33","$954,620.62","Lee ""Duke"" Ho Seong - League of Legends Player",27
21,22.,2016,"Korea, Republic of",Bang,"Bae, Jun Sik","$420,169.33","$915,911.99","Bae ""Bang"" Jun Sik - League of Legends Player",34
22,23.,2016,"Korea, Republic of",Wolf,"Lee, Jae Wan","$420,169.33","$913,084.70","Lee ""Wolf"" Jae Wan - League of Legends Player",35
23,24.,2016,"Korea, Republic of",Faker,"Lee, Sang Hyeok","$418,365.33","$1,309,607.54","Lee ""Faker"" Sang Hyeok - League of Legends Player",56
24,25.,2016,"Korea, Republic of",Blank,"Kang, Sun Gu","$418,365.33","$559,518.75","Kang ""Blank"" Sun Gu - League of Legends Player",15
25,26.,2016,Malaysia,MidOne,"Zheng, Yeik Nai","$411,258.20","$1,797,918.14","Zheng ""MidOne"" Yeik Nai - Dota 2 Player",65
26,27.,2016,Philippines,DJ,Djardel Jicko Mampusti,"$404,708.20","$975,737.31","Djardel Jicko ""DJ"" Mampusti - Dota 2 Player",72
27,28.,2016,Malaysia,Ohaiyo,"Chong, Xin Khoo","$392,328.20","$583,976.52","Chong ""Ohaiyo"" Xin Khoo - Dota 2 Player",66
28,29.,2016,Jordan,Miracle-,Amer Al-Barkawi,"$390,678.80","$4,818,441.68","Amer ""Miracle-"" Al-Barkawi - Dota 2 Player",70
29,30.,2016,Malaysia,Mushi,"Chai, Yee Fung","$384,828.20","$1,026,918.67","Chai ""Mushi"" Yee Fung - Dota 2 Player",90
30,31.,2016,Brazil,FalleN,Gabriel Toledo,"$368,494.79","$1,133,142.41","Gabriel ""FalleN"" Toledo - CS:GO Player",156
31,32.,2016,Brazil,coldzera,Marcelo David,"$366,194.79","$1,035,801.46","Marcelo ""coldzera"" David - CS:GO Player",125
32,33.,2016,Brazil,TACO,Epitácio de Melo,"$365,794.79","$1,083,086.48","Epitácio ""TACO"" de Melo - CS:GO Player",120
33,34.,2016,Brazil,fer,Fernando Alvarenga,"$365,794.79","$1,064,743.90","Fernando ""fer"" Alvarenga - CS:GO Player",125
34,35.,2016,Germany,KuroKy,Kuro Takhasomi,"$362,813.20","$5,215,504.15","Kuro ""KuroKy"" Takhasomi - Dota 2 Player",118
35,36.,2016,Bulgaria,MinD_ContRoL,Ivan Ivanov,"$362,813.20","$4,599,516.16","Ivan ""MinD_ContRoL"" Ivanov - Dota 2 Player",79
36,37.,2016,Finland,Matumbaman,Lasse Urpalainen,"$362,813.20","$4,507,889.04","Lasse ""Matumbaman"" Urpalainen - Dota 2 Player",80
37,38.,2016,"Korea, Republic of",Bengi,"Bae, Seong Ung","$358,365.33","$810,683.00","Bae ""Bengi"" Seong Ung - League of Legends Player",21
38,39.,2016,Brazil,fnx,Lincoln Lau,"$353,194.79","$426,167.56","Lincoln ""fnx"" Lau - CS:GO Player",69
39,40.,2016,"Korea, Republic of",MP,"Pyo, Noah","$351,489.65","$591,176.77","Pyo ""MP"" Noah - Dota 2 Player",46
40,41.,2016,Malaysia,343,Adam Shah,"$349,748.80","$384,464.31","Adam ""343"" Shah - Dota 2 Player",29
41,42.,2016,"Korea, Republic of",Forev,"Lee, Sang Don","$349,739.65","$541,037.11","Lee ""Forev"" Sang Don - Dota 2 Player",49
42,43.,2016,"Korea, Republic of",DuBu,"Kim, Du Young","$347,826.09","$714,768.87","Kim ""DuBu"" Du Young - Dota 2 Player",38
43,44.,2016,"Korea, Republic of",QO,"Kim, Sunyeob","$347,826.09","$591,322.79","Kim ""QO"" Sunyeob - Dota 2 Player",41
44,45.,2016,"Korea, Republic of",Febby,"Kim, Yong Min","$347,239.65","$607,619.88","Kim ""Febby"" Yong Min - Dota 2 Player",42
45,46.,2016,Germany,FATA,Adrian Trinks,"$342,413.20","$1,370,688.82","Adrian ""FATA"" Trinks - Dota 2 Player",115
46,47.,2016,Sweden,s4,Gustav Magnusson,"$342,280.00","$2,735,863.91","Gustav ""s4"" Magnusson - Dota 2 Player",135
47,48.,2016,China,KaKa,"Hu, Liangzhi","$314,961.00","$2,329,871.24","Hu ""KaKa"" Liangzhi - Dota 2 Player",96
48,49.,2016,"Korea, Republic of",ByuN,"Byun, Hyun Woo","$304,611.36","$444,330.07","Byun ""ByuN"" Hyun Woo - StarCraft II Player",289
49,50.,2016,Canada,EternaLEnVy,Jacky Mao,"$299,779.00","$992,222.69","Jacky ""EternaLEnVy"" Mao - Dota 2 Player",110
50,51.,2016,Sweden,pieliedie,Johan Åström,"$295,794.92","$989,390.86","Johan ""pieliedie"" Åström - Dota 2 Player",84
51,52.,2016,United States,Lethul,Tony Campbell,"$295,750.00","$669,375.00","Tony ""Lethul"" Campbell - Apex Legends Player",51
52,53.,2016,United States,Frosty,Bradley Bergstrom,"$293,500.00","$685,850.00","Bradley ""Frosty"" Bergstrom - Call of Duty Player",42
53,54.,2016,United States,SnakeBite,Paul Duarte,"$293,500.00","$670,625.00","Paul ""SnakeBite"" Duarte - Halo Player",55
54,55.,2016,Canada,Royal 2,Mathew Fiorante,"$293,500.00","$647,087.50","Mathew ""Royal 2"" Fiorante - Halo Player",43
55,56.,2016,Estonia,Puppey,Clement Ivanov,"$289,679.00","$3,607,594.23","Clement ""Puppey"" Ivanov - Dota 2 Player",136
56,57.,2016,Australia,kpii,Damien Chok,"$272,479.36","$1,829,651.97","Damien ""kpii"" Chok - Dota 2 Player",75
57,58.,2016,Russian Federation,Pavel,Pavel Beltiukov,"$269,607.18","$347,798.00","Pavel ""Pavel"" Beltiukov - Hearthstone Player",32
58,59.,2016,China,eLeVeN,Ren Yangwei,"$257,997.70","$1,527,424.47","Ren ""eLeVeN"" Yangwei - Dota 2 Player",67
59,60.,2016,China,LaNm,"Zhang, Zhicheng","$257,997.70","$1,519,764.73","Zhang ""LaNm"" Zhicheng - Dota 2 Player",79
60,61.,2016,China,oldchicken,"Zhiyong, Wang","$257,997.70","$565,184.71","Zhiyong ""oldchicken"" Wang - Dota 2 Player",45
61,62.,2016,United States,NuckleDu,Du Cong Dang,"$254,711.15","$334,340.97","Du Cong ""NuckleDu"" Dang - Fighting Game Player",83
62,63.,2016,Canada,Arteezy,Artour Babaev,"$248,387.80","$2,468,733.21","Artour ""Arteezy"" Babaev - Dota 2 Player",106
63,64.,2016,Australia,ana,Anathan Pham,"$239,797.18","$6,004,411.96","Anathan ""ana"" Pham - Dota 2 Player",25
64,65.,2016,United States,John,Johnathan Perez,"$231,707.50","$549,874.59","Johnathan ""John"" Perez - Call of Duty Player",76
65,66.,2016,United States,Slasher,Austin Liddicoat,"$230,332.50","$731,058.40","Austin ""Slasher"" Liddicoat - Call of Duty Player",89
66,67.,2016,United States,JKap,Jordan Kaplan,"$230,332.50","$714,188.81","Jordan ""JKap"" Kaplan - Call of Duty Player",97
67,68.,2016,United States,Apathy,Bryan Zhelyazkov,"$228,332.50","$593,797.50","Bryan ""Apathy"" Zhelyazkov - Call of Duty Player",71
68,69.,2016,Singapore,iceiceice,"Koh, Daryl Pei Xiang","$216,242.50","$1,769,541.96","Koh ""iceiceice"" Daryl Pei Xiang - Dota 2 Player",101
69,70.,2016,China,Fenrir,"Lu, Chao","$208,500.95","$1,402,208.92","Lu ""Fenrir"" Chao - Dota 2 Player",76
70,71.,2016,Ukraine,DrHippi,Artem Kravets',"$195,166.67","$210,416.67","Artem ""DrHippi"" Kravets' - Hearthstone Player",8
71,72.,2016,United States,SonicFox,Dominique Mclean,"$192,326.50","$700,478.72","Dominique ""SonicFox"" Mclean - Fighting Game Player",128
72,73.,2016,China,Hao,"Chen, Zhihao","$190,900.80","$1,761,646.83","Chen ""Hao"" Zhihao - Dota 2 Player",59
73,74.,2016,China,Mu,"Zhang, Pan","$190,900.80","$1,390,711.71","Zhang ""Mu"" Pan - Dota 2 Player",48
74,75.,2016,Malaysia,ChuaN,"Wong, Hock Chuan","$190,900.80","$740,982.93","Wong ""ChuaN"" Hock Chuan - Dota 2 Player",65
75,76.,2016,Poland,neo,Filip Kubski,"$190,277.64","$758,451.03","Filip ""neo"" Kubski - CS:GO Player",234
76,77.,2016,"Korea, Republic of",Dark,"Park, Ryung Woo","$189,748.16","$854,160.39","Park ""Dark"" Ryung Woo - StarCraft II Player",163
77,78.,2016,Poland,TaZ,Wiktor Wojtas,"$187,977.64","$741,621.40","Wiktor ""TaZ"" Wojtas - CS:GO Player",246
78,79.,2016,Poland,pashaBiceps,Jarosław Jarząbkowski,"$186,777.64","$624,063.44","Jarosław ""pashaBiceps"" Jarząbkowski - CS:GO Player",168
79,80.,2016,Poland,snax,Janusz Pogorzelski,"$185,777.64","$660,828.09","Janusz ""snax"" Pogorzelski - CS:GO Player",146
80,81.,2016,Poland,byali,Paweł Bieliński,"$185,777.64","$578,457.80","Paweł ""byali"" Bieliński - CS:GO Player",130
81,82.,2016,China,Somnus丶M,Lu Yao,"$173,208.63","$3,132,764.18","Lu ""Somnus丶M"" Yao - Dota 2 Player",77
82,83.,2016,United States,Rush,Will Wierzba,"$170,983.33","$622,016.00","Will ""Rush"" Wierzba - CS:GO Player",122
83,84.,2016,Canada,stanislaw,Peter Jarguz,"$168,633.33","$504,637.38","Peter ""stanislaw"" Jarguz - CS:GO Player",101
84,85.,2016,Denmark,dupreeh,Peter Rasmussen,"$163,190.43","$1,937,581.07","Peter ""dupreeh"" Rasmussen - CS:GO Player",163
85,86.,2016,Denmark,Xyp9x,Andreas Højsleth,"$163,190.43","$1,920,150.13","Andreas ""Xyp9x"" Højsleth - CS:GO Player",173
86,87.,2016,Denmark,dev1ce,Nicolai Reedtz,"$163,190.43","$1,916,054.30","Nicolai ""dev1ce"" Reedtz - CS:GO Player",158
87,88.,2016,China,xiao8,"Zhang, Ning","$162,332.23","$1,877,434.96","Zhang ""xiao8"" Ning - Dota 2 Player",57
88,89.,2016,Canada,NAF,Keith Markovic,"$160,483.33","$1,067,765.66","Keith ""NAF"" Markovic - CS:GO Player",128
89,90.,2016,United States,tarik,Tarik Celik,"$155,591.67","$792,739.21","Tarik ""tarik"" Celik - CS:GO Player",147
90,91.,2016,Spain,mixwell,Oscar Cañellas,"$151,339.97","$300,424.85","Oscar ""mixwell"" Cañellas - VALORANT Player",99
91,92.,2016,Denmark,cajunb,Renè Borg,"$147,920.46","$421,998.82","Renè ""cajunb"" Borg - CS:GO Player",144
92,93.,2016,Sweden,flusha,Robin Rönnquist,"$147,522.20","$877,868.95","Robin ""flusha"" Rönnquist - CS:GO Player",176
93,94.,2016,Denmark,Kjaerbye,Markus Kjærbye,"$145,554.20","$619,725.50","Markus ""Kjaerbye"" Kjærbye - CS:GO Player",116
94,95.,2016,Russian Federation,seized,Denis Kostin,"$145,133.33","$344,427.30","Denis ""seized"" Kostin - CS:GO Player",120
95,96.,2016,Russian Federation,flamie,Egor Vasilyev,"$143,883.33","$860,940.83","Egor ""flamie"" Vasilyev - CS:GO Player",127
96,97.,2016,China,MMY!,"Lei, Zengrong","$143,790.75","$1,112,600.81","Lei ""MMY!"" Zengrong - Dota 2 Player",68
97,98.,2016,Slovakia,GuardiaN,Ladislav Kovács,"$142,633.33","$806,389.70","Ladislav ""GuardiaN"" Kovács - CS:GO Player",157
98,99.,2016,Ukraine,Edward,Ioann Sukharev,"$142,633.33","$719,374.82","Ioann ""Edward"" Sukharev - CS:GO Player",212
99,100.,2016,United States,Cratos,Carlos Ayala,"$142,525.00","$154,508.33","Carlos ""Cratos"" Ayala - Halo Player",17
0,1.,2017,Germany,KuroKy,Kuro Takhasomi,"$2,436,772.40","$5,215,504.15","Kuro ""KuroKy"" Takhasomi - Dota 2 Player",118
1,2.,2017,Jordan,Miracle-,Amer Al-Barkawi,"$2,421,583.03","$4,818,441.68","Amer ""Miracle-"" Al-Barkawi - Dota 2 Player",70
2,3.,2017,Bulgaria,MinD_ContRoL,Ivan Ivanov,"$2,421,272.40","$4,599,516.16","Ivan ""MinD_ContRoL"" Ivanov - Dota 2 Player",79
3,4.,2017,Lebanon,GH,Maroun Merhej,"$2,420,658.78","$4,213,810.69","Maroun ""GH"" Merhej - Dota 2 Player",58
4,5.,2017,Finland,Matumbaman,Lasse Urpalainen,"$2,416,772.40","$4,507,889.04","Lasse ""Matumbaman"" Urpalainen - Dota 2 Player",80
5,6.,2017,Australia,kpii,Damien Chok,"$947,605.69","$1,829,651.97","Damien ""kpii"" Chok - Dota 2 Player",75
6,7.,2017,China,KaKa,"Hu, Liangzhi","$945,805.69","$2,329,871.24","Hu ""KaKa"" Liangzhi - Dota 2 Player",96
7,8.,2017,China,Faith,"Zeng, Hongda","$945,805.69","$1,764,520.75","Zeng ""Faith"" Hongda - Dota 2 Player",106
8,9.,2017,China,Sccc,"Song, Chun","$945,805.69","$1,279,349.54","Song ""Sccc"" Chun - Dota 2 Player",73
9,10.,2017,China,Moogy,Xu Han,"$945,805.69","$1,221,917.10","Xu ""Moogy"" Han - Dota 2 Player",56
10,11.,2017,China,Super,"Xie, Junhao","$556,623.34","$1,765,126.18","Xie ""Super"" Junhao - Dota 2 Player",93
11,12.,2017,China,Monet,"Du, Peng","$556,323.34","$991,422.61","Du ""Monet"" Peng - Dota 2 Player",48
12,13.,2017,Macao,DDC,"Liang, Fa Ming","$556,230.54","$1,345,435.47","Liang ""DDC"" Fa Ming - Dota 2 Player",79
13,14.,2017,China,Inflame,"He, Yongzheng","$554,487.54","$601,854.15","He ""Inflame"" Yongzheng - Dota 2 Player",26
14,15.,2017,Malaysia,Ah-fu,"Chuan, Tue Soon","$550,412.87","$795,006.05","Chuan ""Ah-fu"" Tue Soon - Dota 2 Player",38
15,16.,2017,Russian Federation,RAMZES666,Roman Kushnarev,"$523,615.14","$1,793,796.92","Roman ""RAMZES666"" Kushnarev - Dota 2 Player",82
16,17.,2017,Russian Federation,9pasha,Pavel Khvastunov,"$503,156.81","$1,717,779.57","Pavel ""9pasha"" Khvastunov - Dota 2 Player",74
17,18.,2017,Ukraine,Noone,Vladimir Minenko,"$497,956.81","$1,627,223.45","Vladimir ""Noone"" Minenko - Dota 2 Player",83
18,19.,2017,Ukraine,Lil,Ilya Ilyuk,"$496,756.81","$928,199.86","Ilya ""Lil"" Ilyuk - Dota 2 Player",72
19,20.,2017,Russian Federation,Solo,Alexei Berezin,"$473,156.81","$1,783,725.61","Alexei ""Solo"" Berezin - Dota 2 Player",95
20,21.,2017,Sweden,s4,Gustav Magnusson,"$422,042.40","$2,735,863.91","Gustav ""s4"" Magnusson - Dota 2 Player",135
21,22.,2017,China,eLeVeN,Ren Yangwei,"$402,666.57","$1,527,424.47","Ren ""eLeVeN"" Yangwei - Dota 2 Player",67
22,23.,2017,Denmark,N0tail,Johan Sundstein,"$402,042.40","$7,183,917.80","Johan ""N0tail"" Sundstein - Dota 2 Player",130
23,24.,2017,Finland,JerAx,Jesse Vainikka,"$402,042.40","$6,470,548.78","Jesse ""JerAx"" Vainikka - VALORANT Player",65
24,25.,2017,Israel,Fly,Tal Aizik,"$402,042.40","$2,610,250.81","Tal ""Fly"" Aizik - Dota 2 Player",123
25,26.,2017,China,Ame,"Wang, Chunyu","$392,314.75","$3,406,591.07","Wang ""Ame"" Chunyu - Dota 2 Player",56
26,27.,2017,China,Somnus丶M,Lu Yao,"$392,314.75","$3,132,764.18","Lu ""Somnus丶M"" Yao - Dota 2 Player",77
27,28.,2017,China,Yao,"Yao, Zhengzheng","$392,314.75","$1,192,081.08","Yao ""Yao"" Zhengzheng - Dota 2 Player",65
28,29.,2017,China,Victoria,"Chen, Guanhong","$378,114.75","$450,289.20","Chen ""Victoria"" Guanhong - Dota 2 Player",36
29,30.,2017,"Korea, Republic of",TY,"Jun, Tae Yang","$374,008.54","$704,568.78","Jun ""TY"" Tae Yang - StarCraft II Player",145
30,31.,2017,Australia,ana,Anathan Pham,"$364,942.40","$6,004,411.96","Anathan ""ana"" Pham - Dota 2 Player",25
31,32.,2017,China,BoBoKa,Ye Zhibiao,"$364,141.33","$670,553.98","Ye ""BoBoKa"" Zhibiao - Dota 2 Player",62
32,33.,2017,China,Q,"Fu, Bin","$344,141.33","$1,081,544.74","Fu ""Q"" Bin - Dota 2 Player",46
33,34.,2017,China,Xxs,Lin Jing,"$344,141.33","$650,473.45","Lin ""Xxs"" Jing - Dota 2 Player",60
34,35.,2017,China,Op,Ou Peng,"$344,141.33","$376,826.22","Ou ""Op"" Peng - Dota 2 Player",32
35,36.,2017,China,BurNIng,"Xu, Zhilei","$336,750.40","$896,625.35","Xu ""BurNIng"" Zhilei - Dota 2 Player",78
36,37.,2017,"Korea, Republic of",Crown,"Lee, Min Ho","$322,780.29","$483,747.81","Lee ""Crown"" Min Ho - League of Legends Player",17
37,38.,2017,"Korea, Republic of",Rogue,"Lee, Byung Ryul","$321,146.35","$950,577.74","Lee ""Rogue"" Byung Ryul - StarCraft II Player",186
38,39.,2017,"Korea, Republic of",CoreJJ,"Jo, Yong In","$318,301.74","$608,323.25","Jo ""CoreJJ"" Yong In - League of Legends Player",28
39,40.,2017,"Korea, Republic of",Ruler,"Park, Jae Hyuk","$318,301.74","$577,838.60","Park ""Ruler"" Jae Hyuk - League of Legends Player",26
40,41.,2017,"Korea, Republic of",Ambition,"Kang, Chan Yong","$318,301.74","$553,234.20","Kang ""Ambition"" Chan Yong - League of Legends Player",39
41,42.,2017,"Korea, Republic of",CuVee,"Lee, Seong Jin","$318,301.74","$488,379.08","Lee ""CuVee"" Seong Jin - League of Legends Player",21
42,43.,2017,"Korea, Republic of",Haru,"Kang, Min Seung","$316,301.74","$348,691.73","Kang ""Haru"" Min Seung - League of Legends Player",12
43,44.,2017,Brazil,FalleN,Gabriel Toledo,"$311,554.88","$1,133,142.41","Gabriel ""FalleN"" Toledo - CS:GO Player",156
44,45.,2017,Brazil,TACO,Epitácio de Melo,"$311,554.88","$1,083,086.48","Epitácio ""TACO"" de Melo - CS:GO Player",120
45,46.,2017,Brazil,fer,Fernando Alvarenga,"$311,554.88","$1,064,743.90","Fernando ""fer"" Alvarenga - CS:GO Player",125
46,47.,2017,Brazil,coldzera,Marcelo David,"$311,554.88","$1,035,801.46","Marcelo ""coldzera"" David - CS:GO Player",125
47,48.,2017,Norway,rain,Håvard Nygaard,"$304,107.14","$806,099.57","Håvard ""rain"" Nygaard - CS:GO Player",131
48,49.,2017,Bosnia and Herzegovina,NiKo,Nikola Kovač,"$301,857.14","$903,425.13","Nikola ""NiKo"" Kovač - CS:GO Player",138
49,50.,2017,Denmark,karrigan,Finn Andersen,"$301,607.14","$1,039,922.11","Finn ""karrigan"" Andersen - CS:GO Player",202
50,51.,2017,United States,FormaL,Matthew Piper,"$294,550.00","$894,532.18","Matthew ""FormaL"" Piper - Call of Duty Player",138
51,52.,2017,France,kennyS,Kenny Schrub,"$292,500.00","$727,359.59","Kenny ""kennyS"" Schrub - CS:GO Player",167
52,53.,2017,Denmark,dupreeh,Peter Rasmussen,"$291,933.33","$1,937,581.07","Peter ""dupreeh"" Rasmussen - CS:GO Player",163
53,54.,2017,Denmark,Xyp9x,Andreas Højsleth,"$291,933.33","$1,920,150.13","Andreas ""Xyp9x"" Højsleth - CS:GO Player",173
54,55.,2017,Denmark,gla1ve,Lukas Rossander,"$291,933.33","$1,775,567.40","Lukas ""gla1ve"" Rossander - CS:GO Player",145
55,56.,2017,Denmark,Kjaerbye,Markus Kjærbye,"$291,933.33","$619,725.50","Markus ""Kjaerbye"" Kjærbye - CS:GO Player",116
56,57.,2017,Philippines,KuKU,Kuku Palad,"$288,279.60","$982,344.63","Kuku ""KuKU"" Palad - Dota 2 Player",54
57,58.,2017,Philippines,Tims,Timothy Randrup,"$288,279.60","$800,007.75","Timothy ""Tims"" Randrup - Dota 2 Player",51
58,59.,2017,Philippines,Raven,Marc Polo Luis Fausto,"$288,279.60","$786,533.10","Marc Polo ""Raven"" Luis Fausto - Dota 2 Player",39
59,60.,2017,Philippines,sam_H,Sam Enojosa Hidalgo,"$288,279.60","$497,684.78","Sam Enojosa ""sam_H"" Hidalgo - Dota 2 Player",31
60,61.,2017,France,apEX,Dan Madesclaire,"$285,000.00","$910,597.20","Dan ""apEX"" Madesclaire - CS:GO Player",192
61,62.,2017,France,NBK,Nathan Schmitt,"$282,500.00","$839,670.05","Nathan ""NBK"" Schmitt - CS:GO Player",192
62,63.,2017,"Korea, Republic of",Peanut,"Han, Wang Ho","$278,533.58","$486,994.37","Han ""Peanut"" Wang Ho - League of Legends Player",29
63,64.,2017,China,XHope,"-, -","$275,541.34","$294,345.18","- ""XHope"" - - Hearthstone Player",17
64,65.,2017,"Korea, Republic of",Faker,"Lee, Sang Hyeok","$271,894.37","$1,309,607.54","Lee ""Faker"" Sang Hyeok - League of Legends Player",56
65,66.,2017,"Korea, Republic of",Bang,"Bae, Jun Sik","$271,894.37","$915,911.99","Bae ""Bang"" Jun Sik - League of Legends Player",34
66,67.,2017,"Korea, Republic of",Wolf,"Lee, Jae Wan","$271,894.37","$913,084.70","Lee ""Wolf"" Jae Wan - League of Legends Player",35
67,68.,2017,"Korea, Republic of",Huni,"Heo, Seung Hoon","$270,351.03","$357,699.25","Heo ""Huni"" Seung Hoon - League of Legends Player",19
68,69.,2017,United States,C6,Ian Porter,"$269,500.00","$1,333,092.80","Ian ""C6"" Porter - Call of Duty Player",165
69,70.,2017,United States,Scump,Seth Abner,"$269,500.00","$1,068,005.35","Seth ""Scump"" Abner - Call of Duty Player",162
70,71.,2017,Canada,Karma,Damon Barlow,"$269,500.00","$833,962.25","Damon ""Karma"" Barlow - Call of Duty Player",123
71,72.,2017,Sweden,olofmeister,Olof Kajbjer,"$264,300.00","$916,652.34","Olof ""olofmeister"" Kajbjer - CS:GO Player",156
72,73.,2017,Estonia,Puppey,Clement Ivanov,"$262,463.80","$3,607,594.23","Clement ""Puppey"" Ivanov - Dota 2 Player",136
73,74.,2017,Denmark,dev1ce,Nicolai Reedtz,"$261,933.33","$1,916,054.30","Nicolai ""dev1ce"" Reedtz - CS:GO Player",158
74,75.,2017,Malaysia,MidOne,"Zheng, Yeik Nai","$260,063.80","$1,797,918.14","Zheng ""MidOne"" Yeik Nai - Dota 2 Player",65
75,76.,2017,Slovakia,GuardiaN,Ladislav Kovács,"$254,650.00","$806,389.70","Ladislav ""GuardiaN"" Kovács - CS:GO Player",157
76,77.,2017,Dominican Republic,MenaRD,Saul Leonardo Mena Segundo,"$254,417.92","$270,053.27","Saul Leonardo ""MenaRD"" Mena Segundo - Fighting Game Player",17
77,78.,2017,Pakistan,SumaiL,Sumail Hassan,"$250,795.00","$3,818,084.01","Sumail ""SumaiL"" Hassan - Dota 2 Player",74
78,79.,2017,United Kingdom,HugeGorilla,Spencer Ealing,"$250,000.00","$357,275.41","Spencer ""HugeGorilla"" Ealing - FIFA Player",27
79,80.,2017,Jordan,YapzOr,Yazied Jaradat,"$246,963.80","$2,276,218.67","Yazied ""YapzOr"" Jaradat - Dota 2 Player",62
80,81.,2017,Canada,Arteezy,Artour Babaev,"$234,295.00","$2,468,733.21","Artour ""Arteezy"" Babaev - Dota 2 Player",106
81,82.,2017,Denmark,Ace,Marcus Hoelgaard,"$233,412.85","$754,500.84","Marcus ""Ace"" Hoelgaard - Dota 2 Player",84
82,83.,2017,Denmark,Cr1t,Andreas Nielsen,"$232,795.00","$2,219,521.60","Andreas ""Cr1t"" Nielsen - Dota 2 Player",80
83,84.,2017,United States,UNiVeRsE,Saahil Arora,"$229,795.00","$3,057,237.67","Saahil ""UNiVeRsE"" Arora - Dota 2 Player",95
84,85.,2017,Netherlands,Bono Huis,Bono Huis,"$228,000.00","$309,228.13",Bono Huis - Racing Game Player,18
85,86.,2017,Ukraine,Resolut1on,Roman Fominok,"$218,239.60","$1,471,220.75","Roman ""Resolut1on"" Fominok - Dota 2 Player",106
86,87.,2017,Sweden,Zai,Ludwig Wåhlberg,"$214,420.61","$3,266,749.02","Ludwig ""Zai"" Wåhlberg - Dota 2 Player",106
87,88.,2017,France,Happy,Vincent Schopenhauer,"$210,053.72","$496,973.56","Vincent ""Happy"" Schopenhauer - VALORANT Player",130
88,89.,2017,France,SIXER,Christophe Xia,"$208,803.72","$295,305.91","Christophe ""SIXER"" Xia - CS:GO Player",120
