,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
82,83.,2012,Spain,LucifroN,Pedro Moreno Durán,"$31,888.17","$106,080.25","Pedro ""LucifroN"" Moreno Durán - Age of Empires Player",101
83,84.,2012,China,Super,"Xie, Junhao","$28,587.30","$1,765,126.18","Xie ""Super"" Junhao - Dota 2 Player",93
84,85.,2012,China,BurNIng,"Xu, Zhilei","$28,587.30","$896,625.35","Xu ""BurNIng"" Zhilei - Dota 2 Player",78
85,86.,2012,China,rOtK,"Bai, Fan","$28,587.30","$800,946.63","Bai ""rOtK"" Fan - Dota 2 Player",52
86,87.,2012,Germany,HasuObs,Dennis Schneider,"$27,908.42","$226,808.72","Dennis ""HasuObs"" Schneider - Heroes of the Storm Player",185
87,88.,2012,United States,Chauster,Steve Chau,"$27,318.53","$42,801.39","Steve ""Chauster"" Chau - League of Legends Player",36
88,89.,2012,Canada,bigfatlp,Michael Tang,"$27,318.53","$36,694.24","Michael ""bigfatlp"" Tang - League of Legends Player",35
89,90.,2012,United States,Doublelift,Peter Peng,"$27,151.86","$306,475.81","Peter ""Doublelift"" Peng - League of Legends Player",55
90,91.,2012,Canada,HotshotGG,George Georgallidis,"$27,151.86","$38,777.57","George ""HotshotGG"" Georgallidis - League of Legends Player",35
91,92.,2012,China,LongDD,"Huang, Xiang","$26,864.25","$64,039.39","Huang ""LongDD"" Xiang - Dota 2 Player",21
92,93.,2012,"Korea, Republic of",SuperNoVa,"Kim, Young Jin","$26,508.25","$61,924.61","Kim ""SuperNoVa"" Young Jin - StarCraft II Player",81
93,94.,2012,"Korea, Republic of",PuMa,"Lee, Ho Joon","$25,999.24","$144,593.61","Lee ""PuMa"" Ho Joon - StarCraft II Player",25
94,95.,2012,"Korea, Republic of",NesTea,"Lim, Jae Duk","$25,833.74","$288,225.07","Lim ""NesTea"" Jae Duk - StarCraft II Player",57
95,96.,2012,"Taiwan, Republic of China",Sen,"Yang, Chia Cheng","$25,818.55","$147,879.66","Yang ""Sen"" Chia Cheng - StarCraft II Player",71
96,97.,2012,Sweden,Xizt,Richard Landström,"$25,193.62","$549,513.99","Richard ""Xizt"" Landström - CS:GO Player",177
97,98.,2012,United States,Burns,Matthew Potthoff,"$25,000.00","$55,917.50","Matthew ""Burns"" Potthoff - Call of Duty Player",20
98,99.,2012,United States,scarra,William Li,"$24,984.32","$60,928.01","William ""scarra"" Li - Fall Guys Player",32
99,100.,2012,United States,Imaqtpie,Michael Santana,"$24,984.32","$38,630.98","Michael ""Imaqtpie"" Santana - League of Legends Player",27
0,1.,2013,Sweden,s4,Gustav Magnusson,"$320,987.46","$2,735,863.91","Gustav ""s4"" Magnusson - Dota 2 Player",135
1,2.,2013,Sweden,Loda,Jonathan Berg,"$320,827.46","$704,857.44","Jonathan ""Loda"" Berg - Dota 2 Player",100
2,3.,2013,Sweden,Akke,Joakim Akterhall,"$320,827.46","$649,791.42","Joakim ""Akke"" Akterhall - Dota 2 Player",96
3,4.,2013,Sweden,AdmiralBulldog,Henrik Ahnberg,"$320,827.46","$639,563.79","Henrik ""AdmiralBulldog"" Ahnberg - Fall Guys Player",74
4,5.,2013,Sweden,EGM,Jerry Lundqvist,"$320,687.46","$679,039.12","Jerry ""EGM"" Lundqvist - Dota 2 Player",85
